Run	Pol(1+,2-)	Mom	Pol=1 =+v2,2=-v2
5732	2	2.63	
5733	2	2.63	
5734	2	2.64	
5735	2	2.63	
5736	2	2.62	
5737	2	2.62	
5738	2	2.64	
5739	2	2.63	
5740	2	2.63	
5741	2	2.64	
5743	2	2.64	
5744	2	2.62	
5745	2	2.63	
5746	2	2.6	
5747	2	2.66	
5748	2	2.63	
5749	2	2.63	
5750	2	2.63	
5751	2	2.64	
5752	2	2.63	
5753	2	2.64	
5754	2	2.63	
5756	2	2.63	
5757	2	2.63	
5758	2	2.62	
5759	2	2.63	
5760	2	2.63	
5761	2	2.63	
5762	2	2.62	
5767	2	2.63	
5768	2	2.62	
5773	2	2.62	
5774	2	2.61	
5783	2	2.61	
5784	2	2.61	
5785	2	2.61	
5786	2	2.61	
5787	2	2.61	
5789	2	2.6	
5790	2	2.59	
5791	2	2.6	
5792	2	2.6	
5793	2	2.59	
5794	2	2.6	
5795	2	2.6	
5797	2	2.58	
5798	2	2.59	
5800	2	2.59	
5801	2	2.59	
5802	2	2.59	
5803	2	2.58	
5804	2	2.58	
5805	2	2.58	
5806	2	2.56	
5807	2	2.56	
5808	2	2.58	
5809	2	2.6	
5810	2	2.55	
5812	2	2.58	
5813	2	2.56	
5814	2	2.56	
5815	2	2.57	
5816	2	2.57	
5817	2	2.57	
5818	2	2.56	
5819	2	2.54	
5820	2	2.55	
5821	2	2.55	
5822	2	2.56	
5846	2	2.57	
5847	2	2.58	
5848	2	2.56	
5849	2	2.55	
5850	2	2.58	
5851	2	2.57	
5852	2	2.56	
5853	2	2.57	
5854	2	2.56	
5855	1	2.57	
5856	1	2.57	
5857	1	2.57	
5858	1	2.57	
5859	1	2.57	
5860	1	2.56	
5862	1	2.57	
5865	1	2.57	
5867	1	3.51	
5868	1	3.52	
5869	1	3.5	
5870	1	3.51	
5871	1	3.5	
5872	1	3.51	
5873	1	3.51	
5874	1	3.52	
5875	1	3.5	
5876	1	3.49	
5877	1	3.52	
5878	1	3.51	
5879	1	3.51	
5880	1	3.51	
5881	1	3.51	
5882	1	3.5	
5887	1	3.5	
5889	1	3.52	
5890	1	3.5	
5894	1	3.51	
5895	1	3.5	
5896	1	3.51	
5898	1	3.51	
5899	1	3.51	
5901	1	3.51	
5902	1	3.51	
5903	1	3.51	
5904	1	3.5	
5905	1	3.51	
5906	1	3.5	
5907	1	3.5	
5908	2	3.5	
5909	2	3.49	
5910	2	3.5	
5912	2	3.47	
5913	2	3.51	
5914	2	3.49	
5915	2	3.5	
5916	2	3.5	
5917	2	3.5	
5918	2	3.5	
5919	2	3.5	
5920	2	3.51	
5921	2	3.49	
5922	2	3.5	
5923	2	3.49	
5924	2	3.5	
5925	2	3.51	
5926	2	3.5	
5927	2	3.5	
5928	2	3.5	
5930	2	3.51	
5931	2	3.54	
5932	2	3.51	
5933	2	3.5	
5934	2	3.52	
5935	2	3.52	
5936	2	3.49	
5937	2	3.52	
5938	2	3.51	
5939	2	2.06	
5940	2	2.06	
5941	2	2.06	
5943	2	2.05	
5944	2	2.05	
5945	2	2.05	
5946	2	2.04	
5948	2	2.05	
5949	2	2.06	
5950	2	2.06	
5951	2	2.05	
5952	2	2.04	
5963	2	2.04	
5965	2	2.05	
5966	2	2.05	
5969	2	2.06	
5970	2	2.05	
5971	2	2.04	
5972	2	2.05	
