run	Rate	curr	pcal	hcal	hcer	aero	htrack	ptrack	TLT	boil	fadc	total	hgcer_rf_later	note fadc does not include htrig3 rate
7735	165.8	50.8	0.96	0.994	0.98	0.968	0.995	0.995	0.9922	0.9868	0.9917	0.8702		
7736	165.5	50.8	0.96	0.994	0.98	0.968	0.995	0.995	0.9922	0.9868	0.9917	0.8702		
7737	323.3	50.8	0.96	0.994	0.98	0.968	0.995	0.995	0.9862	0.9868	0.9838	0.8580		
7738	325.9	51.3	0.96	0.994	0.98	0.968	0.995	0.995	0.9861	0.9867	0.9837	0.8577		
7739	323.2	50.8	0.96	0.994	0.98	0.968	0.995	0.995	0.9862	0.9868	0.9838	0.8581		
7740	322.4	50.8	0.96	0.994	0.98	0.968	0.995	0.995	0.9862	0.9868	0.9839	0.8581		
7741	135.7	50.8	0.96	0.994	0.98	0.968	0.995	0.995	0.9933	0.9868	0.9932	0.8725		
7742	110.0	41.3	0.96	0.994	0.98	0.968	0.995	0.995	0.9943	0.9893	0.9945	0.8767		
7743	136.7	51.3	0.96	0.994	0.98	0.968	0.995	0.995	0.9933	0.9867	0.9932	0.8723		
7747	37.9	40.3	0.96	0.994	0.98	0.968	0.995	0.995	0.9971	0.9895	0.9981	0.8825		
7748	37.7	40.3	0.96	0.994	0.98	0.968	0.995	0.995	0.9971	0.9895	0.9981	0.8825		
7749	37.6	40.3	0.96	0.994	0.98	0.968	0.995	0.995	0.9971	0.9895	0.9981	0.8826		
7750	72.7	40.3	0.96	0.994	0.98	0.968	0.995	0.995	0.9957	0.9895	0.9964	0.8798		
7751	73.0	40.3	0.96	0.994	0.98	0.968	0.995	0.995	0.9957	0.9895	0.9963	0.8798		
7752	73.1	40.3	0.96	0.994	0.98	0.968	0.995	0.995	0.9957	0.9895	0.9963	0.8798		
7753	278.3	50.8	0.96	0.994	0.98	0.968	0.995	0.995	0.9879	0.9868	0.9861	0.8615		
7754	278.5	50.8	0.96	0.994	0.98	0.968	0.995	0.995	0.9879	0.9868	0.9861	0.8615		
7755	278.8	50.8	0.96	0.994	0.98	0.968	0.995	0.995	0.9879	0.9868	0.9861	0.8615		
7757	483.4	37.8	0.96	0.994	0.98	0.968	0.995	0.995	0.9801	0.9902	0.9758	0.8487		
7758	483.4	37.8	0.96	0.994	0.98	0.968	0.995	0.995	0.9801	0.9902	0.9758	0.8487		
